Study Identifier,Comments,Intervention,Intervention Name,Intervention Type,Adverse drug reaction Endpoint %,Adverse drug reaction Endpoint N, Adverse effects - physician-rated with the DOTES Endpoint %, Adverse effects - physician-rated with the DOTES Endpoint N,Adverse events Endpoint %,Adverse events Endpoint N,Adverse Events 3 months [Acute phase post-intervention] %,Adverse Events 3 months [Acute phase post-intervention] N,Adverse Events 6 months [Continuation phase post-intervention] %,Adverse Events 6 months [Continuation phase post-intervention] N,Adverse Events At least one adverse event of at least moderate intensity %,Adverse Events At least one adverse event of at least moderate intensity N,Adverse Events Ednpoint %,Adverse Events Ednpoint N,Adverse Events Endpoint %,Adverse Events Endpoint N,Adverse Events Endpoint (completer analysis n=74) %,Adverse Events Endpoint (completer analysis n=74) N,Adverse Events Endpoint (N discontinued treatment due to adverse events) %,Adverse Events Endpoint (N discontinued treatment due to adverse events) N,"Adverse Events Endpoint (no tabulation, just given in a figure) %","Adverse Events Endpoint (no tabulation, just given in a figure) N",Adverse Events No AEs %,Adverse Events No AEs N,Adverse Events Patient drop-out due to adverse event %,Adverse Events Patient drop-out due to adverse event N,Adverse events (moderate to severe side-effects) Endpoint %,Adverse events (moderate to severe side-effects) Endpoint N
Gao 2015,Title: Treatment of patients with diabetic peripheral neuropathic pain in China: a double-blind randomised trial of duloxetine vs. placebo,Duloxetine 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,46.5,94,,,,,,,,,,,,
Otto 2008,"Title: Escitalopram in painful polyneuropathy: a randomized, placebo-controlled, cross-over trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto 2008,"Title: Escitalopram in painful polyneuropathy: a randomized, placebo-controlled, cross-over trial",Escitalopram - 20mg,Escitalopram,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enteshari-Moghaddam 2019,Title: Efficacy of duloxetine and gabapentin in pain reduction in patients with knee osteoarthritis,Acetaminophen - 2000mg,Paracetamol,Analgesic,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,
Enteshari-Moghaddam 2019,Title: Efficacy of duloxetine and gabapentin in pain reduction in patients with knee osteoarthritis,Duloxetine - 60mg,Duloxetine ,Antidepressant,,,,,,,,,,,,,,,16,8,,,,,,,,,,,,
Enteshari-Moghaddam 2019,Title: Efficacy of duloxetine and gabapentin in pain reduction in patients with knee osteoarthritis,Gabapentin - 600mg,Gabapentin,Anticonvulsant,,,,,,,,,,,,,,,18,9,,,,,,,,,,,,
Loldrup 1989,Title: Clomipramine and mianserin in chronic idiopathic pain syndrome. A placebo controlled study,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loldrup 1989,Title: Clomipramine and mianserin in chronic idiopathic pain syndrome. A placebo controlled study,Clomipramine (75-150mg),Clomipramine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loldrup 1989,Title: Clomipramine and mianserin in chronic idiopathic pain syndrome. A placebo controlled study,Mianserin (30-60mg),Mianserin,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nct 2006,"Title: Randomized, placebo-controlled comparison of amitriptyline, duloxetine, and pregabalin in patients with chronic diabetic peripheral neuropathic pain: impact on pain, polysomnographic sleep, daytime functioning, and quality of life",Pregabalin,Pregabalin,Anticonvulsant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nct 2006,"Title: Randomized, placebo-controlled comparison of amitriptyline, duloxetine, and pregabalin in patients with chronic diabetic peripheral neuropathic pain: impact on pain, polysomnographic sleep, daytime functioning, and quality of life",Amitriptyline,"Amitriptyline	",Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nct 2006,"Title: Randomized, placebo-controlled comparison of amitriptyline, duloxetine, and pregabalin in patients with chronic diabetic peripheral neuropathic pain: impact on pain, polysomnographic sleep, daytime functioning, and quality of life",Duloxetine,"Duloxetine
",Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atkinson 1999,Title: Effects of noradrenergic and serotonergic antidepressants on chronic low back pain intensity,Maprotiline (50-150mg),Maprotiline,Antidepressant,,,,,,,,,,,,,,,,,90,18,,,,,,,,,,
Atkinson 1999,Title: Effects of noradrenergic and serotonergic antidepressants on chronic low back pain intensity,Paroxetine (10-30mg),Paroxetine,Antidepressant,,,,,,,,,,,,,,,,,90.9,20,,,,,,,,,,
Atkinson 1999,Title: Effects of noradrenergic and serotonergic antidepressants on chronic low back pain intensity,Diphenhydramine (active placebo),NA,Active placebo,,,,,,,,,,,,,,,,,96.9,31,,,,,,,,,,
Foster 2010,Title: Effect of amitriptyline on symptoms in treatment naïve patients with interstitial cystitis/painful bladder syndrome,Placebo,NA,Placebo,,,,,,,,,,,,,,,72,98,,,,,,,,,,,,
Foster 2010,Title: Effect of amitriptyline on symptoms in treatment naïve patients with interstitial cystitis/painful bladder syndrome,Amitriptyline 25-75mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,88,119,,,,,,,,,,,,
Chappell 2008,"Title: A six-month double-blind, placebo-controlled, randomized clinical trial of duloxetine for the treatment of fibromyalgia. Trial was conducted in 36 study centers in Germany, Spain, Sweden, the United Kingdom, and the United States.",Placebo,NA,Placebo,,,,,,,,,,,,,,,81.5,137,,,,,,,,,,,,
Chappell 2008,"Title: A six-month double-blind, placebo-controlled, randomized clinical trial of duloxetine for the treatment of fibromyalgia. Trial was conducted in 36 study centers in Germany, Spain, Sweden, the United Kingdom, and the United States.",Duloxetine 60-120mg),Duloxetine,Antidepressant,,,,,,,,,,,,,,,89.5,145,,,,,,,,,,,,
Tesfaye 2013,"Title: Duloxetine and pregabalin: High-dose monotherapy or their combination? the ""COMBO-DN study"" - A multinational, randomized, double-blind, parallel-group study in patients with diabetic peripheral neuropathic pain",Pregabalin,Pregabalin,Anticonvulsant,,,,,,,,,,,,,,,57.6,232,,,,,,,,,,,,
Tesfaye 2013,"Title: Duloxetine and pregabalin: High-dose monotherapy or their combination? the ""COMBO-DN study"" - A multinational, randomized, double-blind, parallel-group study in patients with diabetic peripheral neuropathic pain",Duloxetine 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,55.6,223,,,,,,,,,,,,
Engel 1998,"Title: A randomized, double-blind crossover trial of sertraline in women with chronic pelvic pain",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engel 1998,"Title: A randomized, double-blind crossover trial of sertraline in women with chronic pelvic pain",Sertraline,Sertraline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chappell 2009,Title: A 1-year safety and efficacy study of duloxetine in patients with fibromyalgia,Duloxetine 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,85.6,89,,,,,,,,,,,,
Chappell 2009,Title: A 1-year safety and efficacy study of duloxetine in patients with fibromyalgia,Duloxetine 120mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,88.2,179,,,,,,,,,,,,
Uchio 2018,"Title: A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese patients with knee pain due to osteoarthritis",Placebo,NA,Placebo,14.8,26,,,,,,,,,,,,,55.7,98,,,,,,,,,,,,
Uchio 2018,"Title: A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese patients with knee pain due to osteoarthritis",Duloxetine 60mg,Duloxetine,Antidepressant,43.3,77,,,,,,,,,,,,,67.4,120,,,,,,,,,,,,
Nct 2015,"Title: Duloxetine in patients with diabetic peripheral neuropathic pain in Japan: A randomized, double-blind, noninferiority comparative study with pregabalin",Pregabalin - 300–600 mg,Pregabalin,Anticonvulsant,,,,,,,,,,,,,,,35.8,54,,,,,,,,,,,,
Nct 2015,"Title: Duloxetine in patients with diabetic peripheral neuropathic pain in Japan: A randomized, double-blind, noninferiority comparative study with pregabalin",Duloxetine - 40–60 mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,29.6,45,,,,,,,,,,,,
deZanette 2014,"Title: Melatonin analgesia is associated with improvement of the descending endogenous pain-modulating system in fibromyalgia: a phase II, randomized, double-dummy, controlled trial",Melatonin 10mg,Melatonin,Hormone,,,,,23.8,5,,,,,,,,,,,,,,,,,,,,,,
deZanette 2014,"Title: Melatonin analgesia is associated with improvement of the descending endogenous pain-modulating system in fibromyalgia: a phase II, randomized, double-dummy, controlled trial",Amitriptyline 25mg,Amitriptyline,Antidepressant,,,,,38.09,8,,,,,,,,,,,,,,,,,,,,,,
deZanette 2014,"Title: Melatonin analgesia is associated with improvement of the descending endogenous pain-modulating system in fibromyalgia: a phase II, randomized, double-dummy, controlled trial",Melatonin 10mg + Amitriptyline 25mg,Melatonin and Amitriptyline,Combination of hormone and antidepressant,,,,,14,3,,,,,,,,,,,,,,,,,,,,,,
Chappell 2011,"Title: A double-blind, randomized, placebo-controlled study of the efficacy and safety of duloxetine for the treatment of chronic pain due to osteoarthritis of the knee",Placebo,NA,Placebo,,,,,32.8,42,,,,,,,,,,,,,,,,,,,,,,
Chappell 2011,"Title: A double-blind, randomized, placebo-controlled study of the efficacy and safety of duloxetine for the treatment of chronic pain due to osteoarthritis of the knee",Duloxetine (60-120mg),Duloxetine,Antidepressant,,,,,50.8,65,,,,,,,,,,,,,,,,,,,,,,
Chappell 2009,"Title: Duloxetine, a centrally acting analgesic, in the treatment of patients with osteoarthritis knee pain: a 13-week, randomized, placebo-controlled trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,40.8,49,,,,,,,,,,,,
Chappell 2009,"Title: Duloxetine, a centrally acting analgesic, in the treatment of patients with osteoarthritis knee pain: a 13-week, randomized, placebo-controlled trial",Duloxetine 60-120mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,49.5,55,,,,,,,,,,,,
Carette 1986,"Title: Evaluation of amitriptyline in primary fibrositis. A double-blind, placebo-controlled study",Placebo,NA,Placebo,,,,,,,,,,,,,,,12,4,,,,,,,,,,,,
Carette 1986,"Title: Evaluation of amitriptyline in primary fibrositis. A double-blind, placebo-controlled study",Amitriptyline - 10-50mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,70,19,,,,,,,,,,,,
Arnold 2012,"Title: Efficacy and safety of duloxetine 30 mg/d in patients with fibromyalgia: a randomized, double-blind, placebo-controlled study",Placebo,NA,Placebo,,,,,,,,,,,,,,,51.6,,,,,,,,,,,,,
Arnold 2012,"Title: Efficacy and safety of duloxetine 30 mg/d in patients with fibromyalgia: a randomized, double-blind, placebo-controlled study",Duloxetine - 30mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,64.5,,,,,,,,,,,,,
Arnold 2005,"Title: A randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",Placebo,NA,Placebo,,,,,,,,,,,,,,,79.2,95,,,,,,,,,,,,
Arnold 2005,"Title: A randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",Duloxetine - 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,92.4,109,,,,,,,,,,,,
Arnold 2005,"Title: A randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",Duloxetine - 120mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,90.5,105,,,,,,,,,,,,
Arnold 2004,"Title: A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Placebo,NA,Placebo,,,,,,,,,,,,,,,74.8,77,,,,,,,,,,,,
Arnold 2004,"Title: A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Duloxetine - 120mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,90.4,94,,,,,,,,,,,,
Cardenas 2002,Title: Efficacy of amitriptyline for relief of pain in spinal cord injury: results of a randomized controlled trial,Placebo,Benztropine mesylate,Active placebo,,,,,,,,,,,,,,,90,36,,,,,,,,,,,,
Cardenas 2002,Title: Efficacy of amitriptyline for relief of pain in spinal cord injury: results of a randomized controlled trial,Amitriptyline - 10-125 mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,97.7,43,,,,,,,,,,,,
Carette 1994,"Title: Comparison of amitriptyline, cyclobenzaprine, and placebo in the treatment of fibromyalgia: A randomized, double-blind clinical trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,62,,,,,,,,,,,,,
Carette 1994,"Title: Comparison of amitriptyline, cyclobenzaprine, and placebo in the treatment of fibromyalgia: A randomized, double-blind clinical trial",Amitriptyline - 25-50mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,95,,,,,,,,,,,,,
Carette 1994,"Title: Comparison of amitriptyline, cyclobenzaprine, and placebo in the treatment of fibromyalgia: A randomized, double-blind clinical trial",Cyclobenzaprine - 20-30mg,NA,Skeletal Muscle Relaxant,,,,,,,,,,,,,,,98,,,,,,,,,,,,,
Brown 2015,Title: A Randomized Placebo-Controlled Trial of Duloxetine for Central Pain in Multiple Sclerosis,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown 2015,Title: A Randomized Placebo-Controlled Trial of Duloxetine for Central Pain in Multiple Sclerosis,Duloxetine - 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braz 2013,"Title: Effects of Panax ginseng extract in patients with fibromyalgia: a 12-week, randomized, double-blind, placebo-controlled trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braz 2013,"Title: Effects of Panax ginseng extract in patients with fibromyalgia: a 12-week, randomized, double-blind, placebo-controlled trial",Amitriptyline - 25mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braz 2013,"Title: Effects of Panax ginseng extract in patients with fibromyalgia: a 12-week, randomized, double-blind, placebo-controlled trial",Panax ginseng - 100mg,Panax Ginseng,Active comparator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowbotham 2012,Title: Efficacy and safety of the alpha4beta2 neuronal nicotinic receptor agonist ABT-894 in patients with diabetic peripheral neuropathic pain,Placebo,NA,Placeco,,,,,,,,,,,,,,,62.7,32,,,,,,,,,,,,
Rowbotham 2012,Title: Efficacy and safety of the alpha4beta2 neuronal nicotinic receptor agonist ABT-894 in patients with diabetic peripheral neuropathic pain,Duloxetine 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,73.7,42,,,,,,,,,,,,
Rowbotham 2012,Title: Efficacy and safety of the alpha4beta2 neuronal nicotinic receptor agonist ABT-894 in patients with diabetic peripheral neuropathic pain,ABT-894 2mg,ABT-894,Neuronal nicotinic acetylcholine receptor agonist,,,,,,,,,,,,,,,67.2,41,,,,,,,,,,,,
Rowbotham 2012,Title: Efficacy and safety of the alpha4beta2 neuronal nicotinic receptor agonist ABT-894 in patients with diabetic peripheral neuropathic pain,ABT-894 4mg,ABT-894,Neuronal nicotinic acetylcholine receptor agonist,,,,,,,,,,,,,,,62.5,35,,,,,,,,,,,,
Rowbotham 2012,Title: Efficacy and safety of the alpha4beta2 neuronal nicotinic receptor agonist ABT-894 in patients with diabetic peripheral neuropathic pain,ABT-894 8mg,ABT-894,Neuronal nicotinic acetylcholine receptor agonist,,,,,,,,,,,,,,,58.2,32,,,,,,,,,,,,
Dickens 2000,Title: The relationship between pain and depression in a trial using paroxetine in sufferers of chronic low back pain,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickens 2000,Title: The relationship between pain and depression in a trial using paroxetine in sufferers of chronic low back pain,Paroxetine 20mg,Paroxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nct 2008,Title: A European multicenter randomized double-blind placebo-controlled monotherapy clinical trial of milnacipran in treatment of fibromyalgia,Placebo,NA,Placebo,,,,,,,,,,,,,,,74.2,331,,,,,,,,,,,,
Nct 2008,Title: A European multicenter randomized double-blind placebo-controlled monotherapy clinical trial of milnacipran in treatment of fibromyalgia,Milnacipran 200mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,84.2,363,,,,,,,,,,,,
Eberhard 1988,Title: A double-blind randomized study of clomipramine versus maprotiline in patients with idiopathic pain syndromes,Maprotiline (25-150mg),Maprotiline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eberhard 1988,Title: A double-blind randomized study of clomipramine versus maprotiline in patients with idiopathic pain syndromes,Clomipramine (25-150mg),Clomipramine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnold 2012,"Title: Safety and efficacy of esreboxetine in patients with fibromyalgia: A fourteen-week, randomized, double-blind, placebo-controlled, multicenter clinical trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,30.7,85,,,,,,,,,,,,
Arnold 2012,"Title: Safety and efficacy of esreboxetine in patients with fibromyalgia: A fourteen-week, randomized, double-blind, placebo-controlled, multicenter clinical trial",Esreboxetine - 4mg,Esreboxetine,Antidepressant,,,,,,,,,,,,,,,57.7,158,,,,,,,,,,,,
Arnold 2012,"Title: Safety and efficacy of esreboxetine in patients with fibromyalgia: A fourteen-week, randomized, double-blind, placebo-controlled, multicenter clinical trial",Esreboxetine - 8mg,Esreboxetine,Antidepressant,,,,,,,,,,,,,,,55.7,157,,,,,,,,,,,,
Arnold 2012,"Title: Safety and efficacy of esreboxetine in patients with fibromyalgia: A fourteen-week, randomized, double-blind, placebo-controlled, multicenter clinical trial",Esreboxetine - 10mg,Esreboxetine,Antidepressant,,,,,,,,,,,,,,,57.7,162,,,,,,,,,,,,
Goldman 2010,Title: Low-dose amitriptyline for treatment of persistent arm pain due to repetitive use,Placebo,NA,Placebo,,,,,,,,,,,,,,,22,,,,,,,,,,,,,
Goldman 2010,Title: Low-dose amitriptyline for treatment of persistent arm pain due to repetitive use,Amitriptyline 25mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,31,,,,,,,,,,,,,
Arnold 2002,"Title: A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnold 2002,"Title: A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Fluoxetine - 10-80mg,Fluoxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnold 2010,"Title: Efficacy and safety of milnacipran 100 mg/day in patients with fibromyalgia: results of a randomized, double-blind, placebo-controlled trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,75,382,,,,,,,,,,,,
Arnold 2010,"Title: Efficacy and safety of milnacipran 100 mg/day in patients with fibromyalgia: results of a randomized, double-blind, placebo-controlled trial",Milnacipran - 100mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,84.1,434,,,,,,,,,,,,
Ang 2013,"Title: Combining cognitive-behavioral therapy and milnacipran for fibromyalgia: a feasibility randomized-controlled trial
Pilot/feasibility study",CBT and placebo,Cognitive behavioural therapy,Behavioural (CBT) plus placebo (sugar pill) medication,,,,,,,,,,,,,,,15.79,3,,,,,,,,,,,,
Ang 2013,"Title: Combining cognitive-behavioral therapy and milnacipran for fibromyalgia: a feasibility randomized-controlled trial
Pilot/feasibility study",CBT and milnacipran - 100mg,Cognitive behavioural therapy + milnacipran,Behavioural (CBT) plus antidepressant medication,,,,,,,,,,,,,,,45,9,,,,,,,,,,,,
Ang 2013,"Title: Combining cognitive-behavioral therapy and milnacipran for fibromyalgia: a feasibility randomized-controlled trial
Pilot/feasibility study",Education and milnacipran - 100mg,Educational telephone contacts + milnacipran ,Placebo (education) plus antidepressant medication,,,,,,,,,,,,,,,42.11,8,,,,,,,,,,,,
Anderberg 2000,"Title: Citalopram in patients with fibromyalgia--a randomized, double-blind, placebo-controlled study",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderberg 2000,"Title: Citalopram in patients with fibromyalgia--a randomized, double-blind, placebo-controlled study",Citalopram - 30-40mg,Citalopram,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen 2014,Title: Clinical experience with desvenlafaxine in treatment of pain associated with diabetic peripheral neuropathy,Placebo,NA,Placebo,,,,,,,,,,,,,,,75.6,68,,,,,,,,,,,,
Allen 2014,Title: Clinical experience with desvenlafaxine in treatment of pain associated with diabetic peripheral neuropathy,Desvenlafaxine - 50mg,Desvenlafaxine,Antidepressant,,,,,,,,,,,,,,,74.6,47,,,,,,,,,,,,
Allen 2014,Title: Clinical experience with desvenlafaxine in treatment of pain associated with diabetic peripheral neuropathy,Desvenlafaxine - 100mg,Desvenlafaxine,Antidepressant,,,,,,,,,,,,,,,74.7,65,,,,,,,,,,,,
Allen 2014,Title: Clinical experience with desvenlafaxine in treatment of pain associated with diabetic peripheral neuropathy,Desvenlafaxine - 200mg,Desvenlafaxine,Antidepressant,,,,,,,,,,,,,,,82.8,82,,,,,,,,,,,,
Allen 2014,Title: Clinical experience with desvenlafaxine in treatment of pain associated with diabetic peripheral neuropathy,Desvenlafaxine - 400mg,Desvenlafaxine,Antidepressant,,,,,,,,,,,,,,,91.3,63,,,,,,,,,,,,
Ahmed 2016,"Title: The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Placebo,NA,Placebo,,,,,,,,,,,,,,,35.7,,,,,,,,,,,,,
Ahmed 2016,"Title: The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Milnacipran - 100mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,64.2,,,,,,,,,,,,,
Ash 1999,Title: The effects of dothiepin on subjects with rheumatoid arthritis and depression,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ash 1999,Title: The effects of dothiepin on subjects with rheumatoid arthritis and depression,Dothiepin - 75-150mg,Dothiepin,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnold 2010,"Title: Flexible dosed duloxetine in the treatment of fibromyalgia: a randomized, double-blind, placebo-controlled trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,71.5,191,,,,,,,,,,,,
Arnold 2010,"Title: Flexible dosed duloxetine in the treatment of fibromyalgia: a randomized, double-blind, placebo-controlled trial",Duloxetine - 60-120mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,82.9,218,,,,,,,,,,,,
Atkinson 1998,"Title: A placebo-controlled randomized clinical trial of nortriptyline for chronic low back pain. To enhance generalizability to the ‘usual’ back pain patient, the study sample was recruited from primary care populations and community volunteers, rather than from pain clinic settings.",Placebo,Placebo,Placebo,,,,,,,,,,,,,,,100,29,,,,,,,,,,,,
Atkinson 1998,"Title: A placebo-controlled randomized clinical trial of nortriptyline for chronic low back pain. To enhance generalizability to the ‘usual’ back pain patient, the study sample was recruited from primary care populations and community volunteers, rather than from pain clinic settings.",Nortriptyline,Nortriptyline,Antidepressant,,,,,,,,,,,,,,,100,28,,,,,,,,,,,,
Arnold 2010,"Title: Safety and efficacy of esreboxetine in patients with fibromyalgia: An 8-week, multicenter, randomized, double-blind, placebo-controlled study",Placebo,NA,Placebo,,,,,,,,,,,,,,,57.1,76,,,,,,,,,,,,
Arnold 2010,"Title: Safety and efficacy of esreboxetine in patients with fibromyalgia: An 8-week, multicenter, randomized, double-blind, placebo-controlled study",Esreboxetine - 8mg,Esreboxetine,Antidepressant,,,,,,,,,,,,,,,71.6,96,,,,,,,,,,,,
Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Duloxetine - 60mg,Duloxetine HCL,Antidepressant,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
Goodkin 1990,"Title: A randomized, double-blind, placebo-controlled trial of trazodone hydrochloride in chronic low back pain syndrome",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodkin 1990,"Title: A randomized, double-blind, placebo-controlled trial of trazodone hydrochloride in chronic low back pain syndrome",Trazodone ≤600mg,Trazodone,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginsberg 1998,Title: A pilot randomized placebo-controlled study of pirlindole in the treatment of primary fibromyalgia,Placebo,NA,Placebo,,,,,,,,,,,,,,,36.4,16,,,,,,,,,,,,
Ginsberg 1998,Title: A pilot randomized placebo-controlled study of pirlindole in the treatment of primary fibromyalgia,Pirlindole 150mg,Pirlindole,Antidepressant,,,,,,,,,,,,,,,40,18,,,,,,,,,,,,
Miki 2016,"Title: Efficacy of mirtazapine for the treatment of fibromyalgia without concomitant depression: a randomized, double-blind, placebo-controlled phase IIa study in Japan",Placebo,NA,Placebo,,,,,,,,,,,,,,,56.7,122,,,,,,,,,,,,
Miki 2016,"Title: Efficacy of mirtazapine for the treatment of fibromyalgia without concomitant depression: a randomized, double-blind, placebo-controlled phase IIa study in Japan",Mirtazapine 30mg,Mirtazapine,Antidepressant,,,,,,,,,,,,,,,68.8,148,,,,,,,,,,,,
